Year,Length,Title,Subject,Actor,Actress,Director,Popularity,Awards,Credits
1990,56,"Best of Candid Camera, The",Comedy,"Allen, Woody","Dickinson, Angie",,12,No,
1990,97,"Novice, The",Comedy,"Sharif, Omar","Dombasle, Arielle",,72,No,
1990,104,"Wait Until Spring, Bandini",Drama,"Mantegna, Joe","Dunaway, Faye",,20,No,
1990,103,Meridian,Science Fiction,"Jamieson, Malcolm","Fenn, Sherilyn","Band, Charles",47,No,"Meridian: a Jamieson, Malcolm and Fenn, Sherilyn film’s, directed by Band, Charles"
1990,89,Bloodsucking Pharaohs in Pittsburgh,Comedy,"Dengel, Jake","Fletcher, Suzanne","Smithey, Alan",79,No,"Bloodsucking Pharaohs in Pittsburgh: a Dengel, Jake and Fletcher, Suzanne film’s, directed by Smithey, Alan"
1990,94,"Rain Killer, The",Mystery,"Sharkey, Ray","Ford, Maria","Stein, Ken",10,No,"Rain Killer, The: a Sharkey, Ray and Ford, Maria film’s, directed by Stein, Ken"
1990,126,"Bonfire of the Vanities, The",Drama,"Hanks, Tom","Griffith, Melanie","De Palma, Brian",82,No,"Bonfire of the Vanities, The: a Hanks, Tom and Griffith, Melanie film’s, directed by De Palma, Brian"
1990,,Crazy People,Comedy,"Moore, Dudley","Hannah, Daryl","Bill, Tony",61,No,"Crazy People: a Moore, Dudley and Hannah, Daryl film’s, directed by Bill, Tony"
1990,105,Dick Tracy,Comedy,"Beatty, Warren","Headley, Glenne","Beatty, Warren",84,No,"Dick Tracy: a Beatty, Warren and Headley, Glenne film’s, directed by Beatty, Warren"
1990,93,A Show of Force,Drama,"Garcia, Andy","Irving, Amy","Barreto, Bruno",1,No,"A Show of Force: a Garcia, Andy and Irving, Amy film’s, directed by Barreto, Bruno"
1990,131,A View to a Kill,Action,"Moore, Roger","Jones, Grace",,44,No,
1990,108,Flashback,Comedy,"Hopper, Dennis","Kane, Carol","Amurri, Franco",19,No,"Flashback: a Hopper, Dennis and Kane, Carol film’s, directed by Amurri, Franco"
1990,107,Days of Thunder,Action,"Cruise, Tom","Kidman, Nicole","Scott, Tony",3,No,"Days of Thunder: a Cruise, Tom and Kidman, Nicole film’s, directed by Scott, Tony"
1990,98,Almost an Angel,Comedy,"Hogan, Paul","Kozlowski, Linda","Cornell, John",14,No,"Almost an Angel: a Hogan, Paul and Kozlowski, Linda film’s, directed by Cornell, John"
1990,110,Mystery Train,Comedy,"Nagase, Masatoshi","Kudoh, Youki","Jarmusch, Jim",23,No,"Mystery Train: a Nagase, Masatoshi and Kudoh, Youki film’s, directed by Jarmusch, Jim"
1990,101,Funny about Love,Comedy,"Wilder, Gene","Lahti, Christine","Nimoy, Leonard",60,No,"Funny about Love: a Wilder, Gene and Lahti, Christine film’s, directed by Nimoy, Leonard"
1990,94,Priceless Beauty,Science Fiction,"Lambert, Christopher","Lane, Diane","Finch, Charles",7,No,"Priceless Beauty: a Lambert, Christopher and Lane, Diane film’s, directed by Finch, Charles"
1990,115,Men Don't Leave,Drama,"Howard, Arliss","Lange, Jessica","Brickman, Paul",66,No,"Men Don't Leave: a Howard, Arliss and Lange, Jessica film’s, directed by Brickman, Paul"
1990,100,Hard To Kill,Action,"Seagal, Steven","LeBrock, Kelly","Malmuth, Bruce",49,No,"Hard To Kill: a Seagal, Steven and LeBrock, Kelly film’s, directed by Malmuth, Bruce"
1990,,Running Away,Drama,"Loggia, Robert","Loren, Sophia",,2,No,
1990,107,Green Card,Comedy,"Depardieu, G�rard","MacDowell, Andie","Weir, Peter",25,No,"Green Card: a Depardieu, G�rard and MacDowell, Andie film’s, directed by Weir, Peter"
1990,101,Postcards from the Edge,Comedy,"Quaid, Dennis","MacLaine, Shirley","Nichols, Mike",63,No,"Postcards from the Edge: a Quaid, Dennis and MacLaine, Shirley film’s, directed by Nichols, Mike"
1990,60,"Immaculate Collection, The",Music,,Madonna,,32,No,
1990,5,"Madonna, Justify My Love",Music,,Madonna,,77,No,
1990,120,Hot Spot,Drama,"Johnson, Don","Madsen, Virginia","Hopper, Dennis",70,No,"Hot Spot: a Johnson, Don and Madsen, Virginia film’s, directed by Hopper, Dennis"
1990,92,After the Shock,Drama,"Kotto, Yaphet","McClanahan, Rue","Sherman, Gary",28,No,"After the Shock: a Kotto, Yaphet and McClanahan, Rue film’s, directed by Sherman, Gary"
1990,110,Modern Love,Comedy,"Benson, Robby","McClanahan, Rue",,18,No,
1990,181,Dances with Wolves,Western,"Costner, Kevin","McDonnell, Mary","Costner, Kevin",8,Yes,"Dances with Wolves: a Costner, Kevin and McDonnell, Mary film’s, directed by Costner, Kevin"
1990,117,Internal Affairs,Drama,"Gere, Richard","Metcalf, Laurie","Figgis, Mike",3,No,"Internal Affairs: a Gere, Richard and Metcalf, Laurie film’s, directed by Figgis, Mike"
1990,127,Ghost,Science Fiction,"Swayze, Patrick","Moore, Demi","Zucker, Jerry",6,Yes,"Ghost: a Swayze, Patrick and Moore, Demi film’s, directed by Zucker, Jerry"
1990,102,Wait Until Spring Bandini,Drama,"Mantegna, Joe","Muti, Ornella","Deruddere, Dominique",29,No,"Wait Until Spring Bandini: a Mantegna, Joe and Muti, Ornella film’s, directed by Deruddere, Dominique"
1990,90,Red Sonja,Action,"Schwarzenegger, Arnold","Nielsen, Brigitte",,40,No,
1990,95,Torn Apart,Drama,"Pasdar, Adrian","Peck, Cecilia","Fisher, Jack",8,No,"Torn Apart: a Pasdar, Adrian and Peck, Cecilia film’s, directed by Fisher, Jack"
1990,89,A Chorus of Disapproval,Comedy,"Irons, Jeremy","Pigg, Alexandra","Winner, Michael",0,No,"A Chorus of Disapproval: a Irons, Jeremy and Pigg, Alexandra film’s, directed by Winner, Michael"
1990,95,Dangerous Pursuit,Mystery,"Harrison, Gregory","Powers, Alexandra","Stern, Sandor",88,No,"Dangerous Pursuit: a Harrison, Gregory and Powers, Alexandra film’s, directed by Stern, Sandor"
1990,106,In Too Deep,Drama,"Race, Hugo","Press, Santha","Tatoulis, Colin South, John",50,No,"In Too Deep: a Race, Hugo and Press, Santha film’s, directed by Tatoulis, Colin South, John"
1990,93,Web of Deceit,Drama,"Read, James","Purl, Linda","Stern, Sandor",6,No,"Web of Deceit: a Read, James and Purl, Linda film’s, directed by Stern, Sandor"
1990,97,Cadillac Man,Comedy,"Williams, Robin","Reed, Pamela","Donaldson, Roger",28,No,"Cadillac Man: a Williams, Robin and Reed, Pamela film’s, directed by Donaldson, Roger"
1990,119,Pretty Woman,Comedy,"Gere, Richard","Roberts, Julia","Marshall, Garry",43,No,"Pretty Woman: a Gere, Richard and Roberts, Julia film’s, directed by Marshall, Garry"
1990,106,Desperate Hours,Mystery,"Rourke, Mickey","Rogers, Mimi","Cimino, Michael",58,No,"Desperate Hours: a Rourke, Mickey and Rogers, Mimi film’s, directed by Cimino, Michael"
1990,98,Trapper County War,Action,"Hudson, Ernie","Russell, Betsy",,5,No,
1990,109,Impulse,Mystery,"Fahey, Jeff","Russell, Theresa","Locke, Sondra",23,No,"Impulse: a Fahey, Jeff and Russell, Theresa film’s, directed by Locke, Sondra"
1990,102,Joe Versus the Volcano,Comedy,"Hanks, Tom","Ryan, Meg","Patrick, John",17,No,"Joe Versus the Volcano: a Hanks, Tom and Ryan, Meg film’s, directed by Patrick, John"
1990,98,"Welcome Home, Roxy Carmichael",Comedy,"Daniels, Jeff","Ryder, Winona","Abrahams, Jim",41,No,"Welcome Home, Roxy Carmichael: a Daniels, Jeff and Ryder, Winona film’s, directed by Abrahams, Jim"
1990,83,U S. Sub Standard.,Comedy,"Pullman, Bill","Schaal, Wendy",,27,No,
1990,,Hells Angels on Wheels,Action,"Nicholson, Jack","Scharf, Sabrina",,1,No,
1990,,Live & Let Die,Action,"Moore, Roger","Seymour, Jane",,62,No,
1990,88,"Kissing Place, The",Drama,"Birney, Meredith Baxter","Snow, Victoria","Wharmby, Tony",41,No,"Kissing Place, The: a Birney, Meredith Baxter and Snow, Victoria film’s, directed by Wharmby, Tony"
1990,,Diamonds are Forever,Action,"Connery, Sean","St. John, Jill","Hamilton, Guy",8,No,"Diamonds are Forever: a Connery, Sean and St. John, Jill film’s, directed by Hamilton, Guy"
1990,113,Total Recall,Action,"Schwarzenegger, Arnold","Stone, Sharon","Verhoeven, Paul",8,No,"Total Recall: a Schwarzenegger, Arnold and Stone, Sharon film’s, directed by Verhoeven, Paul"
1990,97,Fellow Traveller,Drama,"Travanti, Daniel J.","Stubbs, Imogen","Towns, Philip Saville",39,No,"Fellow Traveller: a Travanti, Daniel J. and Stubbs, Imogen film’s, directed by Towns, Philip Saville"
1990,87,"All New Tales from the Crypt, A Trilogy",Horror,"Walsh, M. Emmet","Thompson, Lea","Deutch, Howard",33,No,"All New Tales from the Crypt, A Trilogy: a Walsh, M. Emmet and Thompson, Lea film’s, directed by Deutch, Howard"
1990,110,Border Shootout,Action,"Ford, Glenn","Tilton, Charlene",,7,No,
1990,88,Amazon,Action,"Davi, Robert","Vaananen, Kari","Kaurism�ki, Mika",30,No,"Amazon: a Davi, Robert and Vaananen, Kari film’s, directed by Kaurism�ki, Mika"
1990,85,Crash & Burn,Science Fiction,"Ganus, Paul","Ward, Megan","Band, Charles",75,No,"Crash & Burn: a Ganus, Paul and Ward, Megan film’s, directed by Band, Charles"
