Director,count
"Clegg, Tom",1
"Bogner, Willy",1
"Gries, Tom",2
"Ritt, Martin",8
"Oz, Frank",1
"Rossi, Franco",1
"Miller, David",2
"Cronenberg, David",8
"Frears, Stephen",2
"Pearce, Richard",1
"Gilbert, Brian",2
"Kaczender, George",1
"Savoca, Nancy",1
"Wilder, Billy",1
"Stevens, George, Jr.",1
"Panama, Norman",2
"Demme, Jonathan",3
"Besson, Luc",4
"Hughes, Ken",1
"Edwards, Blake",7
"Russell, Ken",10
"Davis, Andrew",1
"Kaplan, Jonathan",1
"Marshall, Penny",1
"Scola, Ettore",1
"Rumar, Craig",1
"Friedkin, William",3
"Goulding, Edmund",2
"Higgins, Colin",1
"Lewis, Joseph H.",1
"Leone, Sergio",2
"Walton, Kip",2
"Heisler, Stuart",1
"Lelouch, Claude",3
"Konchalovsky, Andrei",3
"Resnais, Alain",2
"Vidor, King",1
"De Filippo, Eduardo",1
"Clair, Rene",1
"MacNaughton, Ian",1
"Coppola, Francis Ford",14
"Wyler, William",3
"Marquand, Richard",1
"Morneau, Louis",1
"Wenders, Wim",8
"Cammell, Donald",1
"Wajda, Andrzej",1
"Varda, Agnes",1
"Sherman, Vincent",1
"Hunter, Tim",1
"Babenco, Hector",3
"Schmoeller, David",1
"Kane, Joseph",2
"Gillard, Stuart",1
"Becker, Harold",1
"Zanussi, Krzystoff",2
"Spottiswoode, Roger",1
"Chelsom, Peter",1
"Boleslawski, Richard",1
"Wiemer, Robert",1
"Sanger, Jonathan",1
"Nelson, Ralph",1
"Bogdanovich, Peter",2
"De Bello, John",2
"Prior, David A.",1
"Rosenthal, Rick",2
"Pyun, Albert",1
"Teague, Lewis",1
"Pontecorvo, Gillo",1
"Ingvordsen, J. Christian",1
"Hulton, Brian G.",1
"Betnel, Jonathan",1
"Irvin, John",1
"Jarman, Derek",1
"Ford, John",24
"Conway, Jack",1
"Marshall, George",1
"Bakshi, Ralph",1
"Chouraqui, Elie",1
"Howard, Ron",2
"Katselas, Milton",1
"De Winter, Harry",1
"Soderbergh, Steven",1
"Arkush, Allan",1
"Sinise, Gary",1
"Rosenberg, Stuart",3
"Cannon, Dyan",1
"Florea, John",1
"Mann, Delbert",1
"Bergman, Andrew",3
"Ludwig, Edward",2
"Annaud, Jean-Jacques",2
"Rees, Jerry",1
"Haskin, Byron",2
"Byrum, John",2
"Parker, Alan",1
"Pialat, Maurice",2
"Dante, Joe",3
"Penn, Arthur",1
"Band, Charles",2
"Mamoulian, Rouben",1
"Foley, James",2
"Hunt, Peter R.",2
"Bonerz, Peter",1
"Imamura, Shohei",1
"Neame, Ronald",1
"Lloyd, Frank",1
"Bergman, Ingmar",29
"Siegel, Don",5
"Sevush, Herb",1
"Niblo, Fred",1
"Pytka, Joe",1
"Levy, Ralph",1
"Greenaway, Peter",2
"Houck, Joy, Jr.",1
"Benedek, Laslo",1
"Abrahams, Jim",2
"Donner, Richard",4
"Hamilton, Guy",3
"Sternberg, Josef von",1
"Lennon, Biddy W.",1
"Emes, Ian",1
"Neff, Thomas L.",1
"Holcomb, Rod",1
"Grant, James Edward",1
"Wayne, John",1
"Veber, Francis",2
"Caro, Marc",1
"Birch, Patricia",1
"Petrie, Donald",1
"Lindberg, Per",1
"Browning, Tod",1
"Negulesco, Jean",1
"Bourguignon, Serge",2
"Kramer, Stanley",2
"Reisz, Karel",1
"Oliver, Ron",1
"Schlesinger, John",4
"Mann, Michael",1
"Pal, George",1
"Bowser, Kenneth",1
"King, Stephen",1
"Harrington, Curtis",1
"Patterson, Richard",1
